製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
345,0.0338,0.0321,0.8547,-0.4434,,0.0338
346,-0.0112,0.0193,0.8547,-0.4563,,0.0112
347,0.004,0.0193,0.8547,-0.4563,,0.004
348,-0.0231,0.0835,0.8418,-0.4563,,0.0231
349,-0.0292,0.0064,0.8418,-0.4563,,0.0292
350,-0.0174,0.0321,0.8676,-0.4306,,0.0174
351,0.0141,0.0193,0.8547,-0.4434,,0.0141
352,-0.0328,0.0064,0.8547,-0.4434,,0.0328
353,0.0344,0.0193,0.8418,-0.4563,,0.0344
354,0.0958,0.0193,0.8418,-0.4691,,0.0958
355,0.1562,0.0321,0.8547,-0.4434,,0.1562
356,0.151,0.0193,0.8547,-0.4563,,0.151
357,0.1247,0.0193,0.8547,-0.4306,,0.1247
358,0.1078,0.0193,0.8418,-0.4434,,0.1078
359,0.0451,0.0193,0.8547,-0.4434,,0.0451
360,0.0448,0.0193,0.8418,-0.4563,,0.0448
361,0.0196,0.0321,0.8418,-0.4691,,0.0196
362,-0.0221,0.0321,0.8418,-0.4691,,0.0221
363,-0.0607,0.0193,0.8547,-0.4434,,0.0607
364,-0.0402,0.0193,0.8418,-0.482,,0.0402
365,-0.0252,0.0321,0.8547,-0.4563,,0.0252
366,0.062,0.0193,0.8547,-0.4691,,0.062
367,0.201,0.0193,0.8547,-0.4563,,0.201
368,0.1313,0.0193,0.8547,-0.4563,,0.1313
369,0.0969,0.0321,0.8418,-0.4691,,0.0969
370,0.047,0.0193,0.8418,-0.4691,,0.047
371,-0.0181,0.0193,0.8547,-0.482,,0.0181
372,-0.1112,0.0064,0.8547,-0.4563,,0.1112
373,-0.0721,-0.0064,0.8547,-0.4563,,0.0721
374,0.0115,0.0193,0.8547,-0.4563,,0.0115
375,0.0795,0.0321,0.8547,-0.4434,,0.0795
376,0.0918,0.0064,0.8418,-0.4563,,0.0918
377,0.1345,0.0193,0.8547,-0.4691,,0.1345
378,0.1362,0.0064,0.8547,-0.4563,,0.1362
379,0.0746,0.0193,0.8547,-0.4691,,0.0746
380,0.0431,0.0193,0.8547,-0.4434,,0.0431
381,0.0506,0.0193,0.8676,-0.4691,,0.0506
382,0.0292,0.0064,0.8547,-0.4306,,0.0292
383,0.02,0.0193,0.8676,-0.4563,,0.02
384,-0.0177,0.0193,0.8547,-0.4563,,0.0177
385,-0.068,0.0321,0.8547,-0.4691,,0.068
386,-0.1189,0.0321,0.8547,-0.4563,,0.1189
387,-0.0811,0.0193,0.8547,-0.4691,,0.0811
388,-0.0286,-0.0064,0.8547,-0.4691,,0.0286
389,-0.027,0.0193,0.8547,-0.4563,,0.027
390,-0.0118,0.0193,0.8547,-0.4434,,0.0118
391,0.0275,0.0193,0.8418,-0.4691,,0.0275
392,0.0133,0.0321,0.8547,-0.4691,,0.0133
393,0.0308,0.0321,0.8418,-0.4691,,0.0308
394,0.0859,0.0321,0.8418,-0.482,,0.0859
395,0.102,0.0321,0.8547,-0.4434,,0.102
396,0.1022,0.0321,0.8547,-0.4563,,0.1022
397,0.1107,0.0321,0.8676,-0.4434,,0.1107
398,0.1076,0.0193,0.8547,-0.4563,,0.1076
399,0.0815,0.045,0.8547,-0.4306,,0.0815
400,0.0777,0.0321,0.8547,-0.4563,,0.0777
401,0.0918,0.045,0.8547,-0.4691,,0.0918
402,0.0766,0.045,0.8547,-0.4434,,0.0766
403,0.0795,0.0835,0.8676,-0.4563,,0.0795
404,0.0412,0.045,0.8547,-0.4434,,0.0412
405,0.0708,0.0193,0.8676,-0.4691,,0.0708
406,0.0536,0.0321,0.8547,-0.4563,,0.0536
407,0.0489,0.045,0.8547,-0.482,,0.0489
408,0.0477,0.0321,0.8418,-0.4691,,0.0477
409,0.0309,0.0321,0.8676,-0.4434,,0.0309
410,0.0026,0.0193,0.8676,-0.4691,,0.0026
411,0.0067,0.0321,0.8676,-0.4434,,0.0067
412,0.0591,0.0321,0.8804,-0.482,,0.0591
413,0.1074,0.045,0.8676,-0.4563,,0.1074
414,0.162,0.0321,0.8804,-0.4563,,0.162
415,0.17,0.0321,0.8676,-0.4691,,0.17
416,0.1107,0.0321,0.8676,-0.4691,,0.1107
417,0.0938,0.0321,0.8547,-0.482,,0.0938
418,0.0559,0.0193,0.8547,-0.4434,,0.0559
419,0.0817,0.0321,0.8547,-0.4563,,0.0817
420,0.0587,0.0193,0.8676,-0.4691,,0.0587
421,0.0219,0.0193,0.8547,-0.4434,,0.0219
422,-0.0321,0.0321,0.8676,-0.4691,,0.0321
423,-0.0244,0.0321,0.8547,-0.4563,,0.0244
424,-0.0093,0.045,0.8676,-0.4563,,0.0093
425,0.0067,0.0321,0.8547,-0.4563,,0.0067
426,0.079,0.0321,0.8804,-0.482,,0.079
427,0.1077,0.0321,0.8804,-0.4563,,0.1077
428,0.0803,0.0321,0.8676,-0.4563,,0.0803
